team_id,team_name,team_crest_pic,team_data_url,league_id,league_name,league_nation,league_logo_pic
10,Hull City,https://tmssl.akamaized.net//images/wappen/tiny/3008.png?lm=1562662491,https://www.transfermarkt.com/hull-city/startseite/verein/3008/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
11,Ipswich Town,https://tmssl.akamaized.net//images/wappen/tiny/677.png?lm=1407655249,https://www.transfermarkt.com/ipswich-town/startseite/verein/677/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
12,Leeds United,https://tmssl.akamaized.net//images/wappen/tiny/399.png?lm=1645652224,https://www.transfermarkt.com/leeds-united/startseite/verein/399/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
13,Liverpool FC,https://tmssl.akamaized.net//images/wappen/tiny/31.png?lm=1727873452,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
14,Manchester City,https://tmssl.akamaized.net//images/wappen/tiny/281.png?lm=1467356331,https://www.transfermarkt.com/manchester-city/startseite/verein/281/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
15,Manchester United,https://tmssl.akamaized.net//images/wappen/tiny/985.png?lm=1457975903,https://www.transfermarkt.com/manchester-united/startseite/verein/985/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
16,Newcastle United,https://tmssl.akamaized.net//images/wappen/tiny/762.png?lm=1472921161,https://www.transfermarkt.com/newcastle-united/startseite/verein/762/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
17,Nottingham Forest,https://tmssl.akamaized.net//images/wappen/tiny/703.png?lm=1598890289,https://www.transfermarkt.com/nottingham-forest/startseite/verein/703/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
18,Sunderland AFC,https://tmssl.akamaized.net//images/wappen/tiny/289.png?lm=1485645633,https://www.transfermarkt.com/afc-sunderland/startseite/verein/289/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
19,Tottenham Hotspur,https://tmssl.akamaized.net//images/wappen/tiny/148.png?lm=1732011953,https://www.transfermarkt.com/tottenham-hotspur/startseite/verein/148/saison_id/2025,0,Premier League,England,https://tmssl.akamaized.net/images/logo/header/gb1.png?lm=1521104656
20,Birmingham City,https://tmssl.akamaized.net//images/wappen/tiny/337.png?lm=1672321276,https://www.transfermarkt.com/birmingham-city/startseite/verein/337/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
21,Blackburn Rovers,https://tmssl.akamaized.net//images/wappen/tiny/164.png?lm=1495228542,https://www.transfermarkt.com/blackburn-rovers/startseite/verein/164/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
22,Bolton Wanderers,https://tmssl.akamaized.net//images/wappen/tiny/355.png?lm=1407653952,https://www.transfermarkt.com/bolton-wanderers/startseite/verein/355/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
23,Bristol City,https://tmssl.akamaized.net//images/wappen/tiny/698.png?lm=1571314125,https://www.transfermarkt.com/bristol-city/startseite/verein/698/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
24,Burnley FC,https://tmssl.akamaized.net//images/wappen/tiny/1132.png?lm=1686818840,https://www.transfermarkt.com/fc-burnley/startseite/verein/1132/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
25,Cardiff City,https://tmssl.akamaized.net//images/wappen/tiny/603.png?lm=1478337063,https://www.transfermarkt.com/cardiff-city/startseite/verein/603/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
26,Charlton Athletic,https://tmssl.akamaized.net//images/wappen/tiny/358.png?lm=1448178743,https://www.transfermarkt.com/charlton-athletic/startseite/verein/358/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
27,Derby County,https://tmssl.akamaized.net//images/wappen/tiny/22.png?lm=1407654006,https://www.transfermarkt.com/derby-county/startseite/verein/22/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
28,Lincoln City,https://tmssl.akamaized.net//images/wappen/tiny/1198.png?lm=1734285411,https://www.transfermarkt.com/lincoln-city/startseite/verein/1198/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
29,Middlesbrough FC,https://tmssl.akamaized.net//images/wappen/tiny/641.png?lm=1782932117,https://www.transfermarkt.com/fc-middlesbrough/startseite/verein/641/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
30,Millwall FC,https://tmssl.akamaized.net//images/wappen/tiny/1028.png?lm=1782932477,https://www.transfermarkt.com/fc-millwall/startseite/verein/1028/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
31,Norwich City,https://tmssl.akamaized.net//images/wappen/tiny/1123.png?lm=1655469640,https://www.transfermarkt.com/norwich-city/startseite/verein/1123/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
32,Portsmouth FC,https://tmssl.akamaized.net//images/wappen/tiny/1020.png?lm=1565282045,https://www.transfermarkt.com/fc-portsmouth/startseite/verein/1020/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
33,Preston North End,https://tmssl.akamaized.net//images/wappen/tiny/466.png?lm=1414769167,https://www.transfermarkt.com/preston-north-end/startseite/verein/466/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
34,Queens Park Rangers,https://tmssl.akamaized.net//images/wappen/tiny/1039.png?lm=1464680692,https://www.transfermarkt.com/queens-park-rangers/startseite/verein/1039/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
35,Sheffield United,https://tmssl.akamaized.net//images/wappen/tiny/350.png?lm=1409254138,https://www.transfermarkt.com/sheffield-united/startseite/verein/350/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
36,Southampton FC,https://tmssl.akamaized.net//images/wappen/tiny/180.png?lm=1444560086,https://www.transfermarkt.com/fc-southampton/startseite/verein/180/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
37,Stoke City,https://tmssl.akamaized.net//images/wappen/tiny/512.png?lm=1782464506,https://www.transfermarkt.com/stoke-city/startseite/verein/512/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
38,Swansea City,https://tmssl.akamaized.net//images/wappen/tiny/2288.png?lm=1752825825,https://www.transfermarkt.com/swansea-city/startseite/verein/2288/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
39,Watford FC,https://tmssl.akamaized.net//images/wappen/tiny/1010.png?lm=1468103673,https://www.transfermarkt.com/fc-watford/startseite/verein/1010/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
40,West Bromwich Albion,https://tmssl.akamaized.net//images/wappen/tiny/984.png?lm=1457991758,https://www.transfermarkt.com/west-bromwich-albion/startseite/verein/984/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
41,West Ham United,https://tmssl.akamaized.net//images/wappen/tiny/379.png?lm=1464675260,https://www.transfermarkt.com/west-ham-united/startseite/verein/379/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
42,Wolverhampton Wanderers,https://tmssl.akamaized.net//images/wappen/tiny/543.png?lm=1467496784,https://www.transfermarkt.com/wolverhampton-wanderers/startseite/verein/543/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
43,Wrexham AFC,https://tmssl.akamaized.net//images/wappen/tiny/1112.png?lm=1704797430,https://www.transfermarkt.com/afc-wrexham/startseite/verein/1112/saison_id/2025,1,Championship,England,https://tmssl.akamaized.net/images/logo/header/gb2.png?lm=1643026970
44,Athletic Bilbao,https://tmssl.akamaized.net//images/wappen/tiny/621.png?lm=1695069038,https://www.transfermarkt.com/athletic-bilbao/startseite/verein/621/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
45,Atlético de Madrid,https://tmssl.akamaized.net//images/wappen/tiny/13.png?lm=1719915566,https://www.transfermarkt.com/atletico-madrid/startseite/verein/13/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
46,CA Osasuna,https://tmssl.akamaized.net//images/wappen/tiny/331.png?lm=1686070937,https://www.transfermarkt.com/ca-osasuna/startseite/verein/331/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
47,Celta de Vigo,https://tmssl.akamaized.net//images/wappen/tiny/940.png?lm=1406966406,https://www.transfermarkt.com/celta-vigo/startseite/verein/940/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
48,Deportivo A Coruña,https://tmssl.akamaized.net//images/wappen/tiny/897.png?lm=1782419490,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
49,Deportivo Alavés,https://tmssl.akamaized.net//images/wappen/tiny/1108.png?lm=1596131395,https://www.transfermarkt.com/deportivo-alaves/startseite/verein/1108/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
50,Elche CF,https://tmssl.akamaized.net//images/wappen/tiny/1531.png?lm=1421955260,https://www.transfermarkt.com/fc-elche/startseite/verein/1531/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
51,FC Barcelona,https://tmssl.akamaized.net//images/wappen/tiny/131.png?lm=1406739548,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
52,Getafe CF,https://tmssl.akamaized.net//images/wappen/tiny/3709.png?lm=1408655116,https://www.transfermarkt.com/fc-getafe/startseite/verein/3709/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
53,Levante UD,https://tmssl.akamaized.net//images/wappen/tiny/3368.png?lm=1408655062,https://www.transfermarkt.com/ud-levante/startseite/verein/3368/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
54,Málaga CF,https://tmssl.akamaized.net//images/wappen/tiny/1084.png?lm=1749674822,https://www.transfermarkt.com/fc-malaga/startseite/verein/1084/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
55,RCD Espanyol Barcelona,https://tmssl.akamaized.net//images/wappen/tiny/714.png?lm=1406966369,https://www.transfermarkt.com/espanyol-barcelona/startseite/verein/714/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
56,Racing Santander,https://tmssl.akamaized.net//images/wappen/tiny/630.png?lm=1407484479,https://www.transfermarkt.com/racing-santander/startseite/verein/630/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
57,Rayo Vallecano,https://tmssl.akamaized.net//images/wappen/tiny/367.png?lm=1653488445,https://www.transfermarkt.com/rayo-vallecano/startseite/verein/367/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
58,Real Betis Balompié,https://tmssl.akamaized.net//images/wappen/tiny/150.png?lm=1663358526,https://www.transfermarkt.com/real-betis-sevilla/startseite/verein/150/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
59,Real Madrid,https://tmssl.akamaized.net//images/wappen/tiny/418.png?lm=1729684474,https://www.transfermarkt.com/real-madrid/startseite/verein/418/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
60,Real Sociedad,https://tmssl.akamaized.net//images/wappen/tiny/681.png?lm=1614795530,https://www.transfermarkt.com/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
61,Sevilla FC,https://tmssl.akamaized.net//images/wappen/tiny/368.png?lm=1730896593,https://www.transfermarkt.com/fc-sevilla/startseite/verein/368/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
62,Valencia CF,https://tmssl.akamaized.net//images/wappen/tiny/1049.png?lm=1406966320,https://www.transfermarkt.com/fc-valencia/startseite/verein/1049/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
63,Villarreal CF,https://tmssl.akamaized.net//images/wappen/tiny/1050.png?lm=1408655310,https://www.transfermarkt.com/fc-villarreal/startseite/verein/1050/saison_id/2025,2,La Liga,Spain,https://tmssl.akamaized.net/images/logo/header/es1.png?lm=1557051003
64,1.FC Köln,https://tmssl.akamaized.net//images/wappen/tiny/3.png?lm=1656580823,https://www.transfermarkt.com/1-fc-koln/startseite/verein/3/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
65,1.FC Union Berlin,https://tmssl.akamaized.net//images/wappen/tiny/89.png?lm=1402956210,https://www.transfermarkt.com/1-fc-union-berlin/startseite/verein/89/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
66,1.FSV Mainz 05,https://tmssl.akamaized.net//images/wappen/tiny/39.png?lm=1564748880,https://www.transfermarkt.com/1-fsv-mainz-05/startseite/verein/39/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
67,Bayer 04 Leverkusen,https://tmssl.akamaized.net//images/wappen/tiny/15.png?lm=1710156317,https://www.transfermarkt.com/bayer-04-leverkusen/startseite/verein/15/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
68,Bayern Munich,https://tmssl.akamaized.net//images/wappen/tiny/27.png?lm=1729503608,https://www.transfermarkt.com/fc-bayern-munchen/startseite/verein/27/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
69,Borussia Dortmund,https://tmssl.akamaized.net//images/wappen/tiny/16.png?lm=1396275280,https://www.transfermarkt.com/borussia-dortmund/startseite/verein/16/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
70,Borussia Mönchengladbach,https://tmssl.akamaized.net//images/wappen/tiny/18.png?lm=1656585796,https://www.transfermarkt.com/borussia-monchengladbach/startseite/verein/18/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
71,Eintracht Frankfurt,https://tmssl.akamaized.net//images/wappen/tiny/24.png?lm=1700074979,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
72,FC Augsburg,https://tmssl.akamaized.net//images/wappen/tiny/167.png?lm=1656582897,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
73,FC Schalke 04,https://tmssl.akamaized.net//images/wappen/tiny/33.png?lm=1656580846,https://www.transfermarkt.com/fc-schalke-04/startseite/verein/33/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
74,Hamburger SV,https://tmssl.akamaized.net//images/wappen/tiny/41.png?lm=1597319274,https://www.transfermarkt.com/hamburger-sv/startseite/verein/41/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
75,RB Leipzig,https://tmssl.akamaized.net//images/wappen/tiny/23826.png?lm=1619431624,https://www.transfermarkt.com/rasenballsport-leipzig/startseite/verein/23826/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
76,SC Freiburg,https://tmssl.akamaized.net//images/wappen/tiny/60.png?lm=1517249279,https://www.transfermarkt.com/sc-freiburg/startseite/verein/60/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
77,SC Paderborn 07,https://tmssl.akamaized.net//images/wappen/tiny/127.png?lm=1532010365,https://www.transfermarkt.com/sc-paderborn-07/startseite/verein/127/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
78,SV 07 Elversberg,https://tmssl.akamaized.net//images/wappen/tiny/64.png?lm=1658300359,https://www.transfermarkt.com/sv-07-elversberg/startseite/verein/64/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
79,SV Werder Bremen,https://tmssl.akamaized.net//images/wappen/tiny/86.png?lm=1403082298,https://www.transfermarkt.com/sv-werder-bremen/startseite/verein/86/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
80,TSG 1899 Hoffenheim,https://tmssl.akamaized.net//images/wappen/tiny/533.png?lm=1675591766,https://www.transfermarkt.com/tsg-1899-hoffenheim/startseite/verein/533/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
81,VfB Stuttgart,https://tmssl.akamaized.net//images/wappen/tiny/79.png?lm=1680587427,https://www.transfermarkt.com/vfb-stuttgart/startseite/verein/79/saison_id/2025,3,Bundesliga,Germany,https://tmssl.akamaized.net/images/logo/header/l1.png?lm=1525905518
82,AC Milan,https://tmssl.akamaized.net//images/wappen/tiny/5.png?lm=1605166627,https://www.transfermarkt.com/ac-mailand/startseite/verein/5/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
83,AC Monza,https://tmssl.akamaized.net//images/wappen/tiny/2919.png?lm=1562072734,https://www.transfermarkt.com/ac-monza/startseite/verein/2919/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
84,ACF Fiorentina,https://tmssl.akamaized.net//images/wappen/tiny/430.png?lm=1722844765,https://www.transfermarkt.com/ac-florenz/startseite/verein/430/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
85,AS Roma,https://tmssl.akamaized.net//images/wappen/tiny/12.png?lm=1751979202,https://www.transfermarkt.com/as-rom/startseite/verein/12/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
86,Atalanta BC,https://tmssl.akamaized.net//images/wappen/tiny/800.png?lm=1780904763,https://www.transfermarkt.com/atalanta-bergamo/startseite/verein/800/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
87,Bologna FC 1909,https://tmssl.akamaized.net//images/wappen/tiny/1025.png?lm=1626441324,https://www.transfermarkt.com/fc-bologna/startseite/verein/1025/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
88,Cagliari Calcio,https://tmssl.akamaized.net//images/wappen/tiny/1390.png?lm=1626441409,https://www.transfermarkt.com/cagliari-calcio/startseite/verein/1390/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
89,Como 1907,https://tmssl.akamaized.net//images/wappen/tiny/1047.png?lm=1565704078,https://www.transfermarkt.com/como-1907/startseite/verein/1047/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
90,Frosinone Calcio,https://tmssl.akamaized.net//images/wappen/tiny/8970.png?lm=1438547543,https://www.transfermarkt.com/frosinone-calcio/startseite/verein/8970/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
91,Genoa CFC,https://tmssl.akamaized.net//images/wappen/tiny/252.png?lm=1655305880,https://www.transfermarkt.com/genua-cfc/startseite/verein/252/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
92,Inter Milan,https://tmssl.akamaized.net//images/wappen/tiny/46.png?lm=1618900989,https://www.transfermarkt.com/inter-mailand/startseite/verein/46/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
93,Juventus FC,https://tmssl.akamaized.net//images/wappen/tiny/506.png?lm=1626441487,https://www.transfermarkt.com/juventus-turin/startseite/verein/506/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
94,Parma Calcio 1913,https://tmssl.akamaized.net//images/wappen/tiny/130.png?lm=1530945992,https://www.transfermarkt.com/parma-calcio-1913/startseite/verein/130/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
95,SS Lazio,https://tmssl.akamaized.net//images/wappen/tiny/398.png?lm=1601537785,https://www.transfermarkt.com/lazio-rom/startseite/verein/398/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
96,SSC Napoli,https://tmssl.akamaized.net//images/wappen/tiny/6195.png?lm=1753167643,https://www.transfermarkt.com/ssc-neapel/startseite/verein/6195/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
97,Torino FC,https://tmssl.akamaized.net//images/wappen/tiny/416.png?lm=1438548174,https://www.transfermarkt.com/fc-turin/startseite/verein/416/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
98,US Lecce,https://tmssl.akamaized.net//images/wappen/tiny/1005.png?lm=1689169528,https://www.transfermarkt.com/us-lecce/startseite/verein/1005/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
99,US Sassuolo,https://tmssl.akamaized.net//images/wappen/tiny/6574.png?lm=1755894334,https://www.transfermarkt.com/us-sassuolo/startseite/verein/6574/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
100,Udinese Calcio,https://tmssl.akamaized.net//images/wappen/tiny/410.png?lm=1688982584,https://www.transfermarkt.com/udinese-calcio/startseite/verein/410/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
101,Venezia FC,https://tmssl.akamaized.net//images/wappen/tiny/607.png?lm=1782999555,https://www.transfermarkt.com/venezia-fc/startseite/verein/607/saison_id/2025,4,Serie A,Italy,https://tmssl.akamaized.net/images/logo/header/it1.png?lm=1656073460
102,AJ Auxerre,https://tmssl.akamaized.net//images/wappen/tiny/290.png?lm=1635851977,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290/saison_id/2025,5,Ligue 1,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
103,AS Monaco,https://tmssl.akamaized.net//images/wappen/tiny/162.png?lm=1654781919,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2025,5,Ligue 1,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
104,Angers SCO,https://tmssl.akamaized.net//images/wappen/tiny/1420.png?lm=1687525425,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2025,5,Ligue 1,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
105,ESTAC Troyes,https://tmssl.akamaized.net//images/wappen/tiny/1095.png?lm=1599945497,https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2025,5,Ligue 1,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
106,FC Lorient,https://tmssl.akamaized.net//images/wappen/tiny/1158.png?lm=1406642498,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2025,5,Ligue 1,France,https://tmssl.akamaized.net/images/logo/header/fr1.png?lm=1648360140
